device_id_encoded,date_report,label
D103,2024/01/01,NORMAL
D436,2024/01/02,NORMAL
D861,2024/01/03,NORMAL
D271,2024/01/04,NORMAL
D107,2024/01/05,NORMAL
D072,2024/01/07,NORMAL
D701,2024/01/08,NORMAL
D021,2024/01/09,NORMAL
D615,2024/01/10,NORMAL
D122,2024/01/11,NORMAL
D467,2024/01/13,NORMAL
D215,2024/01/14,NORMAL
D331,2024/01/15,NORMAL
D459,2024/01/16,NORMAL
D088,2024/01/17,LEAKAGE
D373,2024/01/19,LEAKAGE
D100,2024/01/20,LEAKAGE
D872,2024/01/21,LEAKAGE
D664,2024/01/22,NORMAL
D131,2024/01/24,NORMAL
D662,2024/01/25,LEAKAGE
D309,2024/01/26,LEAKAGE
D770,2024/01/27,LEAKAGE
D344,2024/01/28,NORMAL
D492,2024/01/30,NORMAL
D414,2024/01/31,NORMAL
D806,2024/02/01,NORMAL
D386,2024/02/02,NORMAL
D192,2024/02/03,NORMAL
D956,2024/02/05,NORMAL
D277,2024/02/06,NORMAL
D161,2024/02/07,LEAKAGE
D460,2024/02/08,NORMAL
D314,2024/02/10,NORMAL
D022,2024/02/11,NORMAL
D253,2024/02/12,NORMAL
D748,2024/02/13,LEAKAGE
D857,2024/02/14,NORMAL
D561,2024/02/16,NORMAL
D475,2024/02/17,NORMAL
D059,2024/02/18,NORMAL
D511,2024/02/19,NORMAL
D682,2024/02/20,LEAKAGE
D476,2024/02/22,LEAKAGE
D700,2024/02/23,LEAKAGE
D976,2024/02/24,NORMAL
D783,2024/02/25,LEAKAGE
D190,2024/02/26,NORMAL
D958,2024/02/28,LEAKAGE
D687,2024/02/29,NORMAL
D958,2024/03/01,NORMAL
D563,2024/03/02,NORMAL
D876,2024/03/04,NORMAL
D567,2024/03/05,LEAKAGE
D244,2024/03/06,NORMAL
D832,2024/03/07,NORMAL
D505,2024/03/08,LEAKAGE
D131,2024/03/10,NORMAL
D485,2024/03/11,NORMAL
D819,2024/03/12,NORMAL
D647,2024/03/13,NORMAL
D021,2024/03/14,NORMAL
D841,2024/03/16,LEAKAGE
D167,2024/03/17,LEAKAGE
D274,2024/03/18,NORMAL
D388,2024/03/19,LEAKAGE
D601,2024/03/21,NORMAL
D316,2024/03/22,NORMAL
D014,2024/03/23,NORMAL
D242,2024/03/24,LEAKAGE
D777,2024/03/25,NORMAL
D346,2024/03/27,NORMAL
D565,2024/03/28,LEAKAGE
D898,2024/03/29,NORMAL
D340,2024/03/30,LEAKAGE
D092,2024/03/31,NORMAL
D367,2024/04/02,NORMAL
D956,2024/04/03,LEAKAGE
D455,2024/04/04,NORMAL
D428,2024/04/05,NORMAL
D509,2024/04/06,NORMAL
D776,2024/04/08,LEAKAGE
D943,2024/04/09,LEAKAGE
D035,2024/04/10,LEAKAGE
D206,2024/04/11,LEAKAGE
D081,2024/04/13,NORMAL
D932,2024/04/14,NORMAL
D562,2024/04/15,LEAKAGE
D872,2024/04/16,LEAKAGE
D388,2024/04/17,LEAKAGE
D002,2024/04/19,NORMAL
D390,2024/04/20,NORMAL
D566,2024/04/21,LEAKAGE
D106,2024/04/22,NORMAL
D772,2024/04/23,LEAKAGE
D822,2024/04/25,NORMAL
D477,2024/04/26,NORMAL
D703,2024/04/27,LEAKAGE
D402,2024/04/28,NORMAL
D730,2024/04/30,NORMAL
