time_seconds,time_minutes,actual_flow_rate,pulse_counts,pulse_counts_per_minute,observed_flow_rate,smoothed_flow_rate,event1_rate,event2_rate,event3_rate
0,1,0.0501,0.0,0.0,0.0,0.0,0.05,0.0,0.0
1,1,0.05010207018208567,0.0,0.0,0.0,0.0,0.05,0.0,0.0
2,1,0.05010305073719622,0.0,0.0,0.0,0.0,0.05,0.0,0.0
3,1,0.050102959597376644,0.0,0.0,0.0,0.0,0.05,0.0,0.0
4,1,0.0501018264362112,0.0,0.0,0.0,0.0,0.05,0.0,0.0
5,1,0.05009969234362601,0.0,0.0,0.0,0.0,0.05,0.0,0.0
6,1,0.05009660937561187,0.0,0.0,0.0,0.0,0.05,0.0,0.0
7,1,0.05009263998380061,0.0,0.0,0.0,0.0,0.05,0.0,0.0
8,1,0.05008785633114461,0.0,0.0,0.0,0.0,0.05,0.0,0.0
9,1,0.05008233950119698,0.0,0.0,0.0,0.0,0.05,0.0,0.0
10,1,0.05007617860965593,0.0,0.0,0.0,0.0,0.05,0.0,0.0
11,1,0.050069469827907116,0.0,0.0,0.0,0.0,0.05,0.0,0.0
12,1,0.05006231532926254,0.0,0.0,0.0,0.0,0.05,0.0,0.0
13,1,0.05005482216944095,0.0,0.0,0.0,0.0,0.05,0.0,0.0
14,1,0.050047101113555745,0.0,0.0,0.0,0.0,0.05,0.0,0.0
15,1,0.050039265422461815,0.0,0.0,0.0,0.0,0.05,0.0,0.0
16,1,0.05003142961175859,0.0,0.0,0.0,0.0,0.05,0.0,0.0
17,1,0.050023708197045894,0.0,0.0,0.0,0.0,0.05,0.0,0.0
18,1,0.0500162144391797,0.0,0.0,0.0,0.0,0.05,0.0,0.0
19,1,0.050009059103275216,0.0,0.0,0.0,0.0,0.05,0.0,0.0
20,1,0.05000234924505376,0.0,0.0,0.0,0.0,0.05,0.0,0.0
21,1,0.04999618703783058,0.0,0.0,0.0,0.0,0.05,0.0,0.0
22,1,0.049990668652995396,0.0,0.0,0.0,0.0,0.05,0.0,0.0
23,1,0.049985883206251094,0.0,0.0,0.0,0.0,0.05,0.0,0.0
24,1,0.04998191178115631,0.0,0.0,0.0,0.0,0.05,0.0,0.0
25,1,0.04997882654066956,0.0,0.0,0.0,0.0,0.05,0.0,0.0
26,1,0.049976689936429626,0.0,0.0,0.0,0.0,0.05,0.0,0.0
27,1,0.04997555402443495,0.0,0.0,0.0,0.0,0.05,0.0,0.0
28,1,0.04997545989462004,0.0,0.0,0.0,0.0,0.05,0.0,0.0
29,1,0.04997643722057825,0.0,0.0,0.0,0.0,0.05,0.0,0.0
30,1,0.04997850393436442,0.0,0.0,0.0,0.0,0.05,0.0,0.0
31,1,0.04998166602994034,0.0,0.0,0.0,0.0,0.05,0.0,0.0
32,1,0.04998591749741636,0.0,0.0,0.0,0.0,0.05,0.0,0.0
33,1,0.049991240388809845,0.0,0.0,0.0,0.0,0.05,0.0,0.0
34,1,0.04999760501459969,0.0,0.0,0.0,0.0,0.05,0.0,0.0
35,1,0.050004970268923844,0.0,0.0,0.0,0.0,0.05,0.0,0.0
36,1,0.05001328407985648,0.0,0.0,0.0,0.0,0.05,0.0,0.0
37,1,0.0500224839798317,0.0,0.0,0.0,0.0,0.05,0.0,0.0
38,1,0.05003249778996412,0.0,0.0,0.0,0.0,0.05,0.0,0.0
39,1,0.05004324441076863,0.0,0.0,0.0,0.0,0.05,0.0,0.0
40,1,0.050054634710616185,0.0,0.0,0.0,0.0,0.05,0.0,0.0
41,1,0.05006657250219146,0.0,0.0,0.0,0.0,0.05,0.0,0.0
42,1,0.05007895559625396,0.0,0.0,0.0,0.0,0.05,0.0,0.0
43,1,0.05009167692115772,0.0,0.0,0.0,0.0,0.05,0.0,0.0
44,1,0.050104625695863464,0.0,0.0,0.0,0.0,0.05,0.0,0.0
45,1,0.05011768864359177,0.0,0.0,0.0,0.0,0.05,0.0,0.0
46,1,0.050130751232820056,0.0,0.0,0.0,0.0,0.05,0.0,0.0
47,1,0.050143698932026845,0.0,0.0,0.0,0.0,0.05,0.0,0.0
48,1,0.05015641846443597,0.0,0.0,0.0,0.0,0.05,0.0,0.0
49,1,0.05016879904901363,0.0,0.0,0.0,0.0,0.05,0.0,0.0
50,1,0.05018073361412149,0.0,0.0,0.0,0.0,0.05,0.0,0.0
51,1,0.050192119970528914,0.0,0.0,0.0,0.0,0.05,0.0,0.0
52,1,0.05020286193093256,0.0,0.0,0.0,0.0,0.05,0.0,0.0
53,1,0.050212870363717584,0.0,0.0,0.0,0.0,0.05,0.0,0.0
54,1,0.05022206416941526,0.0,0.0,0.0,0.0,0.05,0.0,0.0
55,1,0.05023037116915879,0.0,0.0,0.0,0.0,0.05,0.0,0.0
56,1,0.05023772889540298,0.0,0.0,0.0,0.0,0.05,0.0,0.0
57,1,0.05024408527624497,0.0,0.0,0.0,0.0,0.05,0.0,0.0
58,1,0.050249399205847804,0.0,0.0,0.0,0.0,0.05,0.0,0.0
59,1,0.0502536409947177,0.0,0.0,0.0,0.0,0.05,0.0,0.0
60,2,0.05025679269490148,0.0,0.0,0.0,0.0,0.05,0.0,0.0
61,2,0.05025884829654118,0.0,0.0,0.0,0.0,0.05,0.0,0.0
62,2,0.050259813793632424,0.0,0.0,0.0,0.0,0.05,0.0,0.0
63,2,0.050259707118266085,0.0,0.0,0.0,0.0,0.05,0.0,0.0
64,2,0.05025855794407375,0.0,0.0,0.0,0.0,0.05,0.0,0.0
65,2,0.050256407361030306,0.0,0.0,0.0,0.0,0.05,0.0,0.0
66,2,0.050253307425176794,0.0,0.0,0.0,0.0,0.05,0.0,0.0
67,2,0.05024932058819674,0.0,0.0,0.0,0.0,0.05,0.0,0.0
68,2,0.050244519013095644,0.0,0.0,0.0,0.0,0.05,0.0,0.0
69,2,0.05023898378348122,0.0,0.0,0.0,0.0,0.05,0.0,0.0
70,2,0.050232804015107727,0.0,0.0,0.0,0.0,0.05,0.0,0.0
71,2,0.05022607587941832,0.0,0.0,0.0,0.0,0.05,0.0,0.0
72,2,0.05021890154978396,0.0,0.0,0.0,0.0,0.05,0.0,0.0
73,2,0.050211388081983804,0.0,0.0,0.0,0.0,0.05,0.0,0.0
74,2,0.05020364624119311,0.0,0.0,0.0,0.0,0.05,0.0,0.0
75,2,0.05019578928833008,0.0,0.0,0.0,0.0,0.05,0.0,0.0
76,2,0.050187931739058916,0.0,0.0,0.0,0.0,0.05,0.0,0.0
77,2,0.05018018810904566,0.0,0.0,0.0,0.0,0.05,0.0,0.0
78,2,0.05017267165921396,0.0,0.0,0.0,0.0,0.05,0.0,0.0
79,2,0.05016549315474814,0.0,0.0,0.0,0.0,0.05,0.0,0.0
80,2,0.0501587596514401,0.0,0.0,0.0,0.0,0.05,0.0,0.0
81,2,0.05015257332267713,0.0,0.0,0.0,0.0,0.05,0.0,0.0
82,2,0.050147030339922384,0.0,0.0,0.0,0.0,0.05,0.0,0.0
83,2,0.05014221981895372,0.0,0.0,0.0,0.0,0.05,0.0,0.0
84,2,0.050138222843406126,0.0,0.0,0.0,0.0,0.05,0.0,0.0
85,2,0.05013511157631597,0.0,0.0,0.0,0.0,0.05,0.0,0.0
86,2,0.050132948469401306,0.0,0.0,0.0,0.0,0.05,0.0,0.0
87,2,0.05013178557874132,0.0,0.0,0.0,0.0,0.05,0.0,0.0
88,2,0.050131663994352677,0.0,0.0,0.0,0.0,0.05,0.0,0.0
89,2,0.05013261338991238,0.0,0.0,0.0,0.0,0.05,0.0,0.0
90,2,0.05013465169756035,0.0,0.0,0.0,0.0,0.05,0.0,0.0
91,2,0.05013778491134491,0.0,0.0,0.0,0.0,0.05,0.0,0.0
92,2,0.050142007021464374,0.0,0.0,0.0,0.0,0.05,0.0,0.0
93,2,0.050147300080025534,0.0,0.0,0.0,0.0,0.05,0.0,0.0
94,2,0.05015363439759818,0.0,0.0,0.0,0.0,0.05,0.0,0.0
95,2,0.05016096886841257,0.0,0.0,0.0,0.0,0.05,0.0,0.0
96,2,0.05016925142063666,0.0,0.0,0.0,0.0,0.05,0.0,0.0
97,2,0.05017841958679976,0.0,0.0,0.0,0.0,0.05,0.0,0.0
98,2,0.050188401188113164,0.0,0.0,0.0,0.0,0.05,0.0,0.0
99,2,0.050199115125189875,0.0,0.0,0.0,0.0,0.05,0.0,0.0
100,2,0.05021047226650039,0.0,0.0,0.0,0.0,0.05,0.0,0.0
101,2,0.050222376424830406,0.0,0.0,0.0,0.0,0.05,0.0,0.0
102,2,0.05023472541104188,0.0,0.0,0.0,0.0,0.05,0.0,0.0
103,2,0.05024741215359275,0.0,0.0,0.0,0.0,0.05,0.0,0.0
104,2,0.05026032587154908,0.0,0.0,0.0,0.0,0.05,0.0,0.0
105,2,0.050273353288238225,0.0,0.0,0.0,0.0,0.05,0.0,0.0
106,2,0.050286379872245844,0.0,0.0,0.0,0.0,0.05,0.0,0.0
107,2,0.050299291092160144,0.0,0.0,0.0,0.0,0.05,0.0,0.0
108,2,0.05031197367131609,0.0,0.0,0.0,0.0,0.05,0.0,0.0
109,2,0.05032431682879242,0.0,0.0,0.0,0.0,0.05,0.0,0.0
110,2,0.05033621349306482,0.0,0.0,0.0,0.0,0.05,0.0,0.0
111,2,0.050347561475018114,0.0,0.0,0.0,0.0,0.05,0.0,0.0
112,2,0.05035826458746585,0.0,0.0,0.0,0.0,0.05,0.0,0.0
113,2,0.050368233698911524,0.0,0.0,0.0,0.0,0.05,0.0,0.0
114,2,0.05037738771000619,0.0,0.0,0.0,0.0,0.05,0.0,0.0
115,2,0.05038565444200424,0.0,0.0,0.0,0.0,0.05,0.0,0.0
116,2,0.05039297142748321,0.0,0.0,0.0,0.0,0.05,0.0,0.0
117,2,0.050399286594664285,0.0,0.0,0.0,0.0,0.05,0.0,0.0
118,2,0.05040455883783607,0.0,0.0,0.0,0.0,0.05,0.0,0.0
119,2,0.05040875846763177,0.0,0.0,0.0,0.0,0.05,0.0,0.0
120,3,0.05041186753622664,0.0,0.0,0.0,0.0,0.05,0.0,0.0
121,3,0.050413880033892564,0.0,0.0,0.0,0.0,0.05,0.0,0.0
122,3,0.050414801954756464,0.0,0.0,0.0,0.0,0.05,0.0,0.0
123,3,0.05041465123104198,0.0,0.0,0.0,0.0,0.05,0.0,0.0
124,3,0.050413457536514855,0.0,0.0,0.0,0.0,0.05,0.0,0.0
125,3,0.0504112619612856,0.0,0.0,0.0,0.0,0.05,0.0,0.0
126,3,0.05040811656153231,0.0,0.0,0.0,0.0,0.05,0.0,0.0
127,3,0.050404083789077,0.0,0.0,0.0,0.0,0.05,0.0,0.0
128,3,0.05039923580706509,0.0,0.0,0.0,0.0,0.05,0.0,0.0
129,3,0.05039365369924568,0.0,0.0,0.0,0.0,0.05,0.0,0.0
130,3,0.0503874265815158,0.0,0.0,0.0,0.0,0.05,0.0,0.0
131,3,0.05038065062546287,0.0,0.0,0.0,0.0,0.05,0.0,0.0
132,3,0.05037342800460348,0.0,0.0,0.0,0.0,0.05,0.0,0.0
133,3,0.05036586577486393,0.0,0.0,0.0,0.0,0.05,0.0,0.0
134,3,0.050358074701568,0.0,0.0,0.0,0.0,0.05,0.0,0.0
135,3,0.05035016804578386,0.0,0.0,0.0,0.0,0.05,0.0,0.0
136,3,0.05034226032332712,0.0,0.0,0.0,0.0,0.05,0.0,0.0
137,3,0.05033446605001665,0.0,0.0,0.0,0.0,0.05,0.0,0.0
138,3,0.05032689848693037,0.0,0.0,0.0,0.0,0.05,0.0,0.0
139,3,0.05031966839940832,0.0,0.0,0.0,0.0,0.05,0.0,0.0
140,3,0.0503128828433995,0.0,0.0,0.0,0.0,0.05,0.0,0.0
141,3,0.05030664399244979,0.0,0.0,0.0,0.0,0.05,0.0,0.0
142,3,0.050301048018182325,0.0,0.0,0.0,0.0,0.05,0.0,0.0
143,3,0.05029618403653638,0.0,0.0,0.0,0.0,0.05,0.0,0.0
